run_id,run_type,model_name,model_family,model_type,dataset_name,is_time_series,column_size,row_size,evaluation_metric,evaluation_value,duration,sql,explainability
29a2a689-fa12-4c1d-a114-d5086a2affc5,training,crypto-isotope-366706.sql_knowledge_base.lat_max_new_dnn_linear_combined_regressor_07d57eaa,regression,DNN_LINEAR_COMBINED_REGRESSOR,sunroof_solar.solar_potential_by_postal_code,FALSE,32,11516,mean_squared_error,0.17205151000500174,1028.39,"CREATE MODEL IF NOT EXISTS `crypto-isotope-366706.sql_knowledge_base.lat_max_new_dnn_linear_combined_regressor_07d57eaa`
                OPTIONS(model_type='DNN_LINEAR_COMBINED_REGRESSOR', INPUT_LABEL_COLS=['lat_max'])
                AS
                (SELECT * EXCEPT(center_point) FROM `bigquery-public-data.sunroof_solar.solar_potential_by_postal_code`
                WHERE lat_max IS NOT NULL)",None
a332e083-b0e6-45ab-9b88-725caf084158,training,crypto-isotope-366706.sql_knowledge_base.lat_max_new_dnn_regressor_fbe32e64,regression,DNN_REGRESSOR,sunroof_solar.solar_potential_by_postal_code,FALSE,32,11516,mean_squared_error,0.18271291509623616,1039.35,"CREATE MODEL IF NOT EXISTS `crypto-isotope-366706.sql_knowledge_base.lat_max_new_dnn_regressor_fbe32e64`
                OPTIONS(model_type='DNN_REGRESSOR', INPUT_LABEL_COLS=['lat_max'])
                AS
                (SELECT * EXCEPT(center_point) FROM `bigquery-public-data.sunroof_solar.solar_potential_by_postal_code`
                WHERE lat_max IS NOT NULL)",None
034ddb42-bdd7-4111-bacb-6a0e33b0ed70,training,crypto-isotope-366706.sql_knowledge_base.lat_max_new_linear_reg_7e788b5b,regression,LINEAR_REG,sunroof_solar.solar_potential_by_postal_code,FALSE,32,11516,mean_squared_error,72.8234084587446,63.36,"CREATE MODEL IF NOT EXISTS `crypto-isotope-366706.sql_knowledge_base.lat_max_new_linear_reg_7e788b5b`
                OPTIONS(model_type='LINEAR_REG', INPUT_LABEL_COLS=['lat_max'])
                AS
                (SELECT * EXCEPT(center_point) FROM `bigquery-public-data.sunroof_solar.solar_potential_by_postal_code`
                WHERE lat_max IS NOT NULL)",Intrinsic
2789687a-68c8-4169-b2f1-1c1a00019554,training,crypto-isotope-366706.sql_knowledge_base.lat_max_new_random_forest_regressor_e0978385,regression,RANDOM_FOREST_REGRESSOR,sunroof_solar.solar_potential_by_postal_code,FALSE,32,11516,mean_squared_error,0.8931770651717241,289.77,"CREATE MODEL IF NOT EXISTS `crypto-isotope-366706.sql_knowledge_base.lat_max_new_random_forest_regressor_e0978385`
                OPTIONS(model_type='RANDOM_FOREST_REGRESSOR', INPUT_LABEL_COLS=['lat_max'])
                AS
                (SELECT * EXCEPT(center_point) FROM `bigquery-public-data.sunroof_solar.solar_potential_by_postal_code`
                WHERE lat_max IS NOT NULL)",SHAP
2dd042c7-bd4f-417a-8908-826f4688f076,training,crypto-isotope-366706.sql_knowledge_base.number_of_panels_w_new_boosted_tree_regressor_a3108c37,regression,BOOSTED_TREE_REGRESSOR,sunroof_solar.solar_potential_by_postal_code,FALSE,32,11516,mean_squared_error,19495973.66985694,287.83,"CREATE MODEL IF NOT EXISTS `crypto-isotope-366706.sql_knowledge_base.number_of_panels_w_new_boosted_tree_regressor_a3108c37`
                OPTIONS(model_type='BOOSTED_TREE_REGRESSOR', INPUT_LABEL_COLS=['number_of_panels_w'])
                AS
                (SELECT * EXCEPT(center_point) FROM `bigquery-public-data.sunroof_solar.solar_potential_by_postal_code`
                WHERE number_of_panels_w IS NOT NULL)",SHAP
a4f8d14f-8628-4eac-bab1-fe1cd7f1faaa,training,crypto-isotope-366706.sql_knowledge_base.number_of_panels_w_new_dnn_linear_combined_regressor_de7635e3,regression,DNN_LINEAR_COMBINED_REGRESSOR,sunroof_solar.solar_potential_by_postal_code,FALSE,32,11516,mean_squared_error,9852074509.90855,291.41,"CREATE MODEL IF NOT EXISTS `crypto-isotope-366706.sql_knowledge_base.number_of_panels_w_new_dnn_linear_combined_regressor_de7635e3`
                OPTIONS(model_type='DNN_LINEAR_COMBINED_REGRESSOR', INPUT_LABEL_COLS=['number_of_panels_w'])
                AS
                (SELECT * EXCEPT(center_point) FROM `bigquery-public-data.sunroof_solar.solar_potential_by_postal_code`
                WHERE number_of_panels_w IS NOT NULL)",None
3b51d740-a70f-451a-ae82-abd4c866174c,training,crypto-isotope-366706.sql_knowledge_base.number_of_panels_w_new_dnn_regressor_89d73a3e,regression,DNN_REGRESSOR,sunroof_solar.solar_potential_by_postal_code,FALSE,32,11516,mean_squared_error,9852856290.05242,299.95,"CREATE MODEL IF NOT EXISTS `crypto-isotope-366706.sql_knowledge_base.number_of_panels_w_new_dnn_regressor_89d73a3e`
                OPTIONS(model_type='DNN_REGRESSOR', INPUT_LABEL_COLS=['number_of_panels_w'])
                AS
                (SELECT * EXCEPT(center_point) FROM `bigquery-public-data.sunroof_solar.solar_potential_by_postal_code`
                WHERE number_of_panels_w IS NOT NULL)",None
9b7f4f00-b2e9-4d79-baeb-266fa2240ee5,training,crypto-isotope-366706.sql_knowledge_base.number_of_panels_w_new_linear_reg_ab96160c,regression,LINEAR_REG,sunroof_solar.solar_potential_by_postal_code,FALSE,32,11516,mean_squared_error,310110933.05859786,53.12,"CREATE MODEL IF NOT EXISTS `crypto-isotope-366706.sql_knowledge_base.number_of_panels_w_new_linear_reg_ab96160c`
                OPTIONS(model_type='LINEAR_REG', INPUT_LABEL_COLS=['number_of_panels_w'])
                AS
                (SELECT * EXCEPT(center_point) FROM `bigquery-public-data.sunroof_solar.solar_potential_by_postal_code`
                WHERE number_of_panels_w IS NOT NULL)",Intrinsic
a542e177-bde5-4d9e-ad11-e75e617f2627,training,crypto-isotope-366706.sql_knowledge_base.number_of_panels_w_new_random_forest_regressor_d778d2ad,regression,RANDOM_FOREST_REGRESSOR,sunroof_solar.solar_potential_by_postal_code,FALSE,32,11516,mean_squared_error,104620583.66559106,284.7,"CREATE MODEL IF NOT EXISTS `crypto-isotope-366706.sql_knowledge_base.number_of_panels_w_new_random_forest_regressor_d778d2ad`
                OPTIONS(model_type='RANDOM_FOREST_REGRESSOR', INPUT_LABEL_COLS=['number_of_panels_w'])
                AS
                (SELECT * EXCEPT(center_point) FROM `bigquery-public-data.sunroof_solar.solar_potential_by_postal_code`
                WHERE number_of_panels_w IS NOT NULL)",SHAP
1ba3ecd6-ef3b-46af-a047-4b6d7718e6de,training,crypto-isotope-366706.sql_knowledge_base.lat_max_automl_regressor_dc0cba0b,regression,AUTOML_REGRESSOR,sunroof_solar.solar_potential_by_postal_code,FALSE,32,11516,mean_squared_error,2.201124077059272,7463.88,"CREATE MODEL IF NOT EXISTS `crypto-isotope-366706.sql_knowledge_base.lat_max_automl_regressor_dc0cba0b`
                OPTIONS(model_type='AUTOML_REGRESSOR', INPUT_LABEL_COLS=['lat_max'])
                AS
                (SELECT * EXCEPT(center_point) FROM `bigquery-public-data.sunroof_solar.solar_potential_by_postal_code`
                WHERE lat_max IS NOT NULL)",None
7cddc535-ab84-45fc-a0cb-a2bd3c065fcc,training,crypto-isotope-366706.sql_knowledge_base.lat_max_random_forest_regressor_ce7c7659,regression,RANDOM_FOREST_REGRESSOR,sunroof_solar.solar_potential_by_postal_code,FALSE,32,11516,mean_squared_error,0.8902897555240216,405.69,"CREATE MODEL IF NOT EXISTS `crypto-isotope-366706.sql_knowledge_base.lat_max_random_forest_regressor_ce7c7659`
                OPTIONS(model_type='RANDOM_FOREST_REGRESSOR', INPUT_LABEL_COLS=['lat_max'])
                AS
                (SELECT * EXCEPT(center_point) FROM `bigquery-public-data.sunroof_solar.solar_potential_by_postal_code`
                WHERE lat_max IS NOT NULL)",SHAP
9a6b08f5-74e6-47f5-945d-eb3496134f1a,training,crypto-isotope-366706.sql_knowledge_base.yearly_sunlight_kwh_median_boosted_tree_regressor_71e00b80,regression,BOOSTED_TREE_REGRESSOR,sunroof_solar.solar_potential_by_postal_code,FALSE,32,11516,mean_squared_error,2727394925.281498,289.61,"CREATE MODEL IF NOT EXISTS `crypto-isotope-366706.sql_knowledge_base.yearly_sunlight_kwh_median_boosted_tree_regressor_71e00b80`
                OPTIONS(model_type='BOOSTED_TREE_REGRESSOR', INPUT_LABEL_COLS=['yearly_sunlight_kwh_median'])
                AS
                (SELECT * EXCEPT(center_point) FROM `bigquery-public-data.sunroof_solar.solar_potential_by_postal_code`
                WHERE yearly_sunlight_kwh_median IS NOT NULL)",SHAP
b83d3d14-618f-480d-95a5-f8f5bbf3934f,training,crypto-isotope-366706.sql_knowledge_base.yearly_sunlight_kwh_median_dnn_linear_combined_regressor_5c8982e6,regression,DNN_LINEAR_COMBINED_REGRESSOR,sunroof_solar.solar_potential_by_postal_code,FALSE,32,11516,mean_squared_error,16097700314.562113,291.4,"CREATE MODEL IF NOT EXISTS `crypto-isotope-366706.sql_knowledge_base.yearly_sunlight_kwh_median_dnn_linear_combined_regressor_5c8982e6`
                OPTIONS(model_type='DNN_LINEAR_COMBINED_REGRESSOR', INPUT_LABEL_COLS=['yearly_sunlight_kwh_median'])
                AS
                (SELECT * EXCEPT(center_point) FROM `bigquery-public-data.sunroof_solar.solar_potential_by_postal_code`
                WHERE yearly_sunlight_kwh_median IS NOT NULL)",None
961cae88-f73f-4397-b70f-fb42f414f410,training,crypto-isotope-366706.sql_knowledge_base.yearly_sunlight_kwh_median_dnn_regressor_184787a9,regression,DNN_REGRESSOR,sunroof_solar.solar_potential_by_postal_code,FALSE,32,11516,mean_squared_error,16097727481.160452,407.24,"CREATE MODEL IF NOT EXISTS `crypto-isotope-366706.sql_knowledge_base.yearly_sunlight_kwh_median_dnn_regressor_184787a9`
                OPTIONS(model_type='DNN_REGRESSOR', INPUT_LABEL_COLS=['yearly_sunlight_kwh_median'])
                AS
                (SELECT * EXCEPT(center_point) FROM `bigquery-public-data.sunroof_solar.solar_potential_by_postal_code`
                WHERE yearly_sunlight_kwh_median IS NOT NULL)",None
8370b840-134d-4163-8261-3cadf8712312,training,crypto-isotope-366706.sql_knowledge_base.yearly_sunlight_kwh_median_linear_reg_73778be1,regression,LINEAR_REG,sunroof_solar.solar_potential_by_postal_code,FALSE,32,11516,mean_squared_error,741715137.946862,61.38,"CREATE MODEL IF NOT EXISTS `crypto-isotope-366706.sql_knowledge_base.yearly_sunlight_kwh_median_linear_reg_73778be1`
                OPTIONS(model_type='LINEAR_REG', INPUT_LABEL_COLS=['yearly_sunlight_kwh_median'])
                AS
                (SELECT * EXCEPT(center_point) FROM `bigquery-public-data.sunroof_solar.solar_potential_by_postal_code`
                WHERE yearly_sunlight_kwh_median IS NOT NULL)",Intrinsic
