id,evaluation_value,duration
d5086a2affc5,0.1720515100050017,1028.39
725caf084158,0.1827129150962361,1039.35
6a0e33b0ed70,72.8234084587446,63.36
1c1a00019554,0.8931770651717241,289.77
826f4688f076,19495973.66985694,287.83
fe1cd7f1faaa,9852074509.90855,291.41
abd4c866174c,9852856290.05242,299.95
266fa2240ee5,310110933.05859786,53.12
e75e617f2627,104620583.66559106,284.7
4b6d7718e6de,2.201124077059272,7463.88
a2bd3c065fcc,0.8902897555240216,405.69
eb3496134f1a,2727394925.281498,289.61
f8f5bbf3934f,16097700314.562113,291.4
fb42f414f410,16097727481.160452,407.24
3cadf8712312,741715137.946862,61.38
8c2fd502a169,0.6542399182141366,21.47
0183293487e3,184379635116.8662,285.08
67d7d7d9405b,122318860192499.22,286.91
42d83951378f,122318933520206.2,409.88
6b37aacc8e18,162038814001.51047,55.15
9a86dae7d65a,4486705025110.982,282.92
3eaa1a21e17c,10747221052.963943,1.04
20f3f89a0b79,895855552347.3109,890.68
b1ca0e48c5eb,895849225224.6813,284.91
d2599cf51e68,191590929881.61792,30.05
6d3b6ebcdbf4,173411083256.60468,281.68
198012b666b2,39605136.61074641,8059.47
225a64242891,28243248.03651696,278.85
7bf6f4358e9f,28243248.03651696,287.97
4eac9185af37,39756645.29982024,163.97
ae63b73d7640,39757605.25647453,166.29
ec4289240059,39759895.27035116,404.64
72cfdeaf95df,39759679.45100097,401.66
34c6413f9969,32099210.393725283,41.83
5627482294d9,32099210.393725287,39.29
ffed58c092d5,13629057.975644069,290.18
8d7af33f15ca,13287172.289797476,293.26
7410fd329841,231512589428608.03,1.08
c08463900991,231512589428608.03,302.96
ce6cb12e4a92,918508104916.355,1.75
4eb6a10a2131,918508104916.4312,57.47
6b6146e99920,102448050190777.31,179.2
eaf1fb5f687c,106492706139819.12,420.72
fb026a033cf3,231512589428608.03,303.62
12abf3663712,918508104916.4113,52.9
33e4aed52379,918508104916.355,54.6
ba6f61a1f7c0,73.39235617566855,433.42
5aeeaa713746,76.08279823593178,360.05
abf8c5fd45f7,0.6659872614085771,281.28
c2c7da717b66,8.993903818710693,781.13
becab155fa71,7.965439778475324,1024.61
b1aa60afb3ae,66.32905951194329,2032.12
296ab02b5c85,0.6528170159259061,277.69
c07758bb1b84,0.6542399182141435,20.89
e84da351aa42,0.6659872614085771,283.68
c37c9add22ec,8.413999357020687,900.31
e9659445d6a5,67.42663366673693,1675.57
a37aadd93e06,76.15219617004306,468.06
0d5d67aac05d,8.13127676933929,911.35
14542d13f23b,0.6528970848483558,277.85
919b38afa28a,74.76347366347734,406.11
850050c13f86,76.28497640400758,341.96
